"lat","lon","count","text"
-29.85,31.0166667,1,"Whitehall"
,,1,"Van der Merwe"
58.5927900015767,-3.52132969968058,1,"Africa"
54.9344748109432,-3.81852595139063,1,"Van der Merwe"
56.2740157906161,-4.77012543660629,1,"England"
56.7126946914256,-3.91187895409296,1,"Yere"
57.5817576302579,-5.18216362459339,1,"England"
57.8262675547016,-5.3478339849357,1,"Van der Merwe"
51.3111734043818,0.73366235740955,1,"West End"
52.7395091867791,-1.49358526006534,1,"Van der Merwe"
55.9322,-3.2131,1,"Africa"
,,1,"Van der Merwe"
56.987377230181,-3.53885244947206,1,"England"
55.9528635,-3.1145573,1,"England"
56.0326744204697,-2.82653489178609,1,"Colemans"
55.795419537301,-4.86369831514454,1,"Hillend"
55.9044294305504,-5.23653977106428,1,"England"
55.8361981056981,-5.04475177169645,1,"England"
55.7528713031711,-4.92571719140359,1,"England"
56.1076561066645,-3.74601138889633,1,"Zambezi"
55.5988178696652,-4.38890333051267,1,"Milky Way"
56.135609902209,-3.37590429521376,1,"Hampstead"
56.1021078390367,-3.87319959635069,1,"England"
,,1,"Westons"
,,1,"England"
,,1,"Westons"
52.4138032726734,-1.51779011958457,1,"Westons"
51.4901139091584,-0.134498460907581,1,"Westons"
54.6036028598937,-2.62779382501838,1,"Westons"
,,1,"Westons"
,,1,"Westons"
,,1,"Westons"
56.2006474395245,-3.16866427013322,1,"Westons"
,,1,"England"
57.5292778798364,-3.20681240823204,1,"England"
51.2810925252474,1.09158339373423,1,"England"
57.8850604698365,-4.59855633057668,1,"Westons"
55.9458,-3.2038,1,"Sybil"
55.916667,-3.5,1,"Westons"
55.9339004,-3.484794,1,"Westons"
55.907517,-3.644212,1,"Cairo"
,,1,"ZAMBEZI"
55.9651,-3.642215,1,"Cramer"
51.9980983868902,-0.982486206697823,1,"Zambezi River"
53.6798442122309,-2.46180724849378,1,"Victoria Falls"
56.3349263034052,-6.39334624203149,1,"Livingstone"
,,1,"England"
28.6666667,77.2166667,1,"Lusaka"
,,1,"Livingstone"
,,1,"Mme"
55.9442,-3.1893,1,"La"
51.5092133578859,-0.205780878663491,1,"Africa"
51.5269680905019,-0.19066481984143,1,"Cramer"
51.373625895146,-3.12792452794473,1,"Whitehall"
55.7522222,37.6155556,1,"Cramer"
55.9189,-3.1531,1,"England"
55.9205,-3.1521,1,"Zambezi"
55.9206,-3.1543,1,"Sea Point"
55.9218,-3.1541,1,"Cape of Good Hope"
55.8957,-3.0957,1,"England"
56.0224693018814,-3.78910189229801,1,"house of Mrs Jan Cloote"
,,1,"Transvaal"
55.579143384782,-5.24471417042109,1,"Maida"
55.6390505665092,-5.01122419962858,1,"England"
55.870001819686,-4.30961078386404,1,"Manchester"
,,1,"Maida"
54.9743860347447,-1.60158051325002,1,"Maida"
51.0865383816075,-0.207907173930699,1,"Sunderland"
55.7665104178193,-3.68696871262282,1,"Sunderland"
41,20,1,"Maida"
55.9335851119607,-5.09811530426512,1,"Himalayas"
52.8661364342639,-0.558223333559154,1,"South America"
55.9335851119607,-5.09811530426512,1,"England"
55.9774,-3.1815,1,"France"
55.9584,-3.1865,1,"Austria"
55.9212162,-3.2778117,1,"Kensington"
55.663203827789,-3.77267337765285,1,"Wales"
52.1971836642497,0.128007462282336,1,"Wales"
55.9631,-3.1768,1,"Wales"
,,1,"Trudy"
,,1,"Germany"
51.5078592878607,-0.119361440580041,1,"Windermere"
51.6662794394,-2.35428638946193,1,"Wales"
55.6422005406162,-3.04484833323263,1,"Wales"
